zipcode,returns,income,mean_income
28722,2840,160743000,56599.64789
27850,2830,160087000,56567.84452
28510,700,39565000,56521.42857
28269,37020,2087579000,56390.57266
28445,3790,213609000,56361.21372
27370,6510,366850000,56351.76651
27529,21790,1221407000,56053.55668
27941,290,16231000,55968.96552
27249,5730,320577000,55947.12042
28805,9070,506892000,55886.65932
27302,13350,744773000,55788.2397
28134,5240,291085000,55550.57252
27804,13140,729662000,55529.83257
28460,4730,262504000,55497.67442
27233,1500,83232000,55488
27954,3240,179458000,55388.2716
27522,5860,324314000,55343.68601
27964,280,15401000,55003.57143
28773,1420,77677000,54702.11268
27601,4000,218739000,54684.75
27583,3120,170583000,54674.03846
28516,5220,285227000,54641.18774
28607,11010,600537000,54544.68665
27050,1810,98502000,54420.99448
27880,1480,80508000,54397.2973
28609,2620,142433000,54363.74046
28124,2870,155669000,54240.06969
28479,2350,127406000,54215.31915
28163,2180,118126000,54186.23853
28412,17900,967950000,54075.41899
28025,22370,1208544000,54025.21234
28801,6940,374753000,53998.99135
28718,290,15649000,53962.06897
27520,17780,958070000,53884.70191
28790,1310,70495000,53812.9771
28787,9740,524126000,53811.70431
28097,2630,141208000,53691.25475
27817,3230,173358000,53671.20743
27932,5420,289431000,53400.55351
28715,11630,618078000,53145.14187
27301,4460,237021000,53143.72197
28395,1130,60024000,53118.58407
27510,7860,416987000,53051.78117
27701,9720,514377000,52919.44444
28711,6070,321084000,52896.86985
28110,22340,1181222000,52874.7538
27283,1480,78231000,52858.78378
27814,670,35391000,52822.38806
27041,3290,173768000,52817.02128
28356,2140,112940000,52775.70093
28742,1440,75883000,52696.52778
28006,520,27365000,52625
27205,14060,738035000,52491.82077
28768,2980,156390000,52479.86577
27231,930,48794000,52466.66667
27103,17070,894859000,52422.90568
27018,3350,175398000,52357.61194
28531,560,29311000,52341.07143
28785,3150,164732000,52295.87302
28625,16390,857072000,52292.3734
27101,8570,448010000,52276.54609
28312,8040,419616000,52191.04478
27407,22630,1180717000,52174.85639
28227,25540,1332196000,52161.15897
28626,1010,52669000,52147.52475
28604,2740,142804000,52118.24818
28144,9650,502024000,52023.21244
27944,4920,255556000,51942.27642
28729,1710,88143000,51545.61404
27703,24730,1270155000,51360.8977
28747,800,41081000,51351.25
28303,13840,710524000,51338.43931
27597,10100,518434000,51330.09901
27946,500,25646000,51292
28391,2410,123597000,51285.06224
27856,7370,377067000,51162.4152
27295,16120,824602000,51153.97022
28137,1270,64888000,51092.91339
27403,8620,439653000,51003.82831
27534,14360,732098000,50981.75487
27043,2620,133319000,50885.1145
27956,160,8128000,50800
28205,22620,1148602000,50778.16092
27330,16060,814836000,50736.9863
27916,310,15721000,50712.90323
27504,6320,319734000,50590.82278
27826,230,11616000,50504.34783
27591,9030,455713000,50466.55592
28150,11140,561963000,50445.51167
28146,11980,604306000,50442.90484
27950,880,44387000,50439.77273
28103,4430,223314000,50409.48081
27581,1600,80563000,50351.875
27803,8960,450385000,50266.18304
28579,240,12057000,50237.5
28684,730,36614000,50156.16438
27545,13200,661375000,50104.16667
27332,12700,635876000,50068.97638
28613,10320,516496000,50048.06202
28786,8940,446715000,49968.12081
27501,8350,416827000,49919.4012
28466,3950,197035000,49882.27848
27822,3660,182389000,49833.06011
27021,7770,387059000,49814.54311
27810,1470,73113000,49736.73469
27045,4120,204416000,49615.53398
28560,12050,597299000,49568.38174
27525,6200,306743000,49474.67742
28306,17530,865355000,49364.23274
28023,6520,321740000,49346.62577
28504,9020,444867000,49320.06652
27948,6190,304336000,49165.75121
27019,1850,90871000,49119.45946
27055,6020,295541000,49093.18937
27028,11250,551889000,49056.8
28021,5420,265626000,49008.48708
28071,1210,59300000,49008.26446
27616,23600,1155827000,48975.72034
27604,21480,1051857000,48969.13408
28570,9780,477564000,48830.67485
28660,950,46275000,48710.52632
27349,2610,127116000,48703.44828
28679,830,40403000,48678.31325
27047,440,21413000,48665.90909
27577,9560,465160000,48656.90377
28311,15190,738880000,48642.52798
28133,1140,55408000,48603.50877
28139,7570,367717000,48575.56143
27315,840,40789000,48558.33333
28527,520,25245000,48548.07692
27974,530,25726000,48539.62264
27860,800,38819000,48523.75
28658,11830,571382000,48299.40828
28701,1750,84378000,48216
28630,8270,398718000,48212.57557
28138,4440,213826000,48159.00901
28692,1750,84069000,48039.42857
27208,670,32093000,47900
28273,18110,867373000,47894.69906
27314,450,21539000,47864.44444
28640,1900,90912000,47848.42105
28577,130,6208000,47753.84615
27239,3750,179036000,47742.93333
27207,1530,72998000,47711.11111
28214,18000,858616000,47700.88889
27565,10870,518318000,47683.34867
28721,4480,213524000,47661.60714
27306,2550,121453000,47628.62745
28735,120,5713000,47608.33333
27252,770,36658000,47607.79221
28128,3030,144248000,47606.60066
28081,11390,541735000,47562.33538
28751,1630,77506000,47549.69325
27258,2970,141003000,47475.75758
27979,640,30339000,47404.6875
27298,4500,213320000,47404.44444
27053,1280,60605000,47347.65625
28573,910,43077000,47337.36264
28262,18810,889984000,47314.40723
27048,3370,158919000,47156.97329
27291,660,31006000,46978.78788
28734,10950,514408000,46977.89954
27806,920,43209000,46966.30435
27574,6180,290113000,46943.85113
27938,600,28154000,46923.33333
27546,6810,319250000,46879.58884
28462,5130,240328000,46847.56335
27863,5260,246360000,46836.5019
28326,8280,387799000,46835.62802
28761,3190,149363000,46822.25705
28681,10260,480239000,46806.92008
28112,11360,531673000,46802.2007
27551,820,38376000,46800
27957,630,29468000,46774.60317
